Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
3587-PMCOY,0,10,2,2,1,98.9,989.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8079-XRJRS,0,65,2,2,0,89.75,5833.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1027-LKKQQ,1,72,1,1,1,80.45,5792.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7148-XZPHA,1,55,2,0,0,79.4,4367.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8073-IJDCM,0,1,0,0,1,20.3,20.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
5309-TAIKL,0,7,1,0,0,62.8,439.59999999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6856-RAURS,0,2,2,0,1,74.9,149.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8778-LMWTJ,0,9,2,0,1,74.85,673.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9717-IOAAF,1,27,0,1,1,25.85,697.95,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8884-ADFVN,0,7,2,0,1,101.95,713.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2845-KDHVX,0,64,1,1,1,68.3,4371.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0848-SOMKO,0,70,1,1,0,48.4,3388.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2720-WGKHP,0,2,2,0,1,94.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6734-FQAJX,0,67,2,1,1,105.05,7038.349999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2869-ADAWR,0,45,2,0,1,89.3,4018.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1535-VTJOQ,0,24,0,1,0,25.15,603.5999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6368-TZZDT,1,4,0,1,0,19.5,78.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0943-ZQPXH,1,44,2,0,1,92.95,4089.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1293-BSEUN,1,72,0,1,1,20.7,1490.3999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9894-EZEWG,0,1,2,0,1,74.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1302-TPUBN,0,66,0,1,0,19.35,1277.1000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7851-FLGGQ,0,1,1,0,1,44.65,44.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0637-UBJRP,1,13,2,0,0,84.05,1092.6499999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0940-OUQEC,0,10,2,0,1,80.7,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2378-VTKDH,0,65,2,0,1,104.35,6782.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0927-CNGRH,1,1,0,0,0,19.55,19.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8608-OZTLB,1,38,1,2,0,74.05,2813.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2335-GSODA,1,23,1,1,0,40.1,922.3000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1952-DVVSW,0,10,0,2,0,20.1,201.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0702-PGIBZ,1,4,2,0,1,101.7,406.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6656-GULJQ,1,72,1,1,1,83.55,6015.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9853-JFZDU,0,35,1,0,0,56.85,1989.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1963-VAUKV,0,1,0,0,0,20.4,20.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
3777-XROBG,1,58,0,1,0,19.55,1133.9,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6994-FGRHH,1,70,2,2,1,106.15,7430.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4000-VGMQP,1,38,1,2,0,78.95,3000.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3999-WRNGR,1,60,1,0,1,49.75,2985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3466-RITXD,0,26,2,0,1,92.4,2402.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2680-XKKNJ,0,8,1,2,0,58.2,465.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3058-HJCUY,1,41,2,2,1,102.6,4206.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2974-GGUXS,0,36,2,0,1,91.95,3310.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7994-XIRTR,0,54,1,2,0,65.25,3523.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3259-FDWOY,1,71,2,1,1,106.0,7526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2101-RANCD,0,55,2,0,1,73.1,4020.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7921-BEPCI,0,72,1,1,0,59.75,4302.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0807-ZABDG,1,3,1,0,1,55.1,165.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8510-TMWYB,1,54,1,1,1,59.8,3229.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3258-ZKPAI,1,72,2,1,1,116.6,8395.199999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1428-IEDPR,0,52,2,1,1,109.3,5683.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5298-GSTLM,0,60,2,2,1,101.4,6084.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4450-YOOHP,0,39,1,0,1,50.65,1975.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6728-CZFEI,0,15,1,2,0,56.15,842.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5748-RNCJT,0,69,2,1,1,106.5,7348.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3653-NCRDJ,1,43,0,2,1,19.2,825.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6121-TNHBO,0,63,1,2,0,83.0,5229.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5119-NZPTV,0,2,2,0,0,70.1,140.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6519-ZHPXP,1,72,2,1,1,108.3,7797.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7739-LAXOG,1,32,2,0,1,91.05,2913.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3472-QPRCH,1,40,0,1,0,25.25,1010.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8224-UAXBZ,0,58,1,2,1,45.35,2630.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9610-WCESF,0,67,1,1,0,43.9,2941.2999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9776-CLUJA,0,51,2,0,1,77.5,3952.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2486-WYVVE,0,31,1,2,1,79.3,2458.2999999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3865-ZYKAD,0,69,2,0,1,84.9,5858.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1422-DGUBX,0,32,2,2,1,79.25,2536.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2999-AANRQ,0,21,1,1,0,71.05,1492.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8668-KNZTI,0,52,1,2,0,53.75,2795.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0480-KYJVA,1,72,0,1,0,24.25,1746.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6034-ZRYCV,0,72,1,1,1,54.2,3902.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9746-YKGXB,1,52,1,2,0,44.25,2301.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3926-YZVVX,0,41,1,2,0,50.05,2052.0499999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6000-UKLWI,0,41,0,1,0,20.15,826.15,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2079-FBMZK,0,6,2,0,1,69.25,415.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6332-FBZRI,1,67,1,2,1,69.35,4646.45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2096-XOTMO,1,16,0,0,0,19.35,309.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3266-FTKHB,0,17,0,1,0,19.15,325.54999999999995,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8221-EQDGL,0,35,1,0,0,61.0,2135.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2346-LOCWC,1,58,0,1,0,20.5,1189.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6608-QQLVK,0,1,1,0,1,50.5,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0298-XACET,1,52,1,1,0,50.2,2610.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7560-QJAVJ,0,70,1,1,0,79.6,5572.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2995-YWTCD,1,19,0,1,1,24.9,473.09999999999997,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3551-HUAZH,0,1,2,0,1,74.4,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9137-UIYPG,1,35,2,0,1,106.9,3741.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2809-ZMYOQ,0,32,2,0,1,101.35,3243.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5084-OOVCJ,1,17,1,0,1,55.35,940.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0254-WWRKD,1,67,1,2,0,50.55,3386.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7727-SHVZV,0,9,0,0,0,19.5,175.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6302-JGYRJ,1,31,1,2,1,79.45,2462.9500000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5339-PXDVH,0,4,2,0,0,90.65,362.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2205-LPVGL,1,58,2,2,1,89.85,5211.299999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8782-NUUOL,0,60,1,2,0,79.0,4740.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3685-YLCMQ,0,58,2,2,1,104.65,6069.700000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7601-WFVZV,0,1,0,0,0,19.55,19.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4609-KNNWG,1,27,0,1,0,19.9,537.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4868-AADLV,1,66,2,2,1,116.25,7672.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9529-OFXHY,0,15,2,0,1,87.75,1316.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8634-MPHTR,0,47,2,0,1,100.05,4702.349999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2669-QVCRG,0,41,2,0,1,81.3,3333.2999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2478-EEWWM,0,59,1,0,1,44.3,2613.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9174-IHETN,1,50,2,1,0,70.35,3517.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2233-TXSIU,1,17,1,2,0,44.45,755.6500000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9644-UMGQA,1,6,1,0,1,49.15,294.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3256-EZDBI,0,51,1,0,1,29.45,1501.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8761-NSOBC,0,44,2,0,0,100.55,4424.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0419-YAAPX,0,49,2,0,1,85.3,4179.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8413-VONUO,0,2,2,0,0,95.65,191.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0872-CASZJ,0,59,1,2,1,69.1,4076.8999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4726-DLWQN,0,50,1,0,1,70.35,3517.4999999999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8164-OCKUJ,1,59,0,1,0,20.6,1215.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3094-JOJAI,0,18,2,0,0,74.15,1334.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9494-MRNYX,0,10,2,0,0,75.05,750.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2599-CZABP,0,14,1,2,0,44.6,624.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7945-PRBVF,0,35,0,1,0,21.45,750.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4544-RXFMG,1,8,1,2,1,43.45,347.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0859-YGKFW,1,18,0,2,0,20.05,360.90000000000003,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1150-FTQGN,1,60,2,2,0,94.15,5649.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9223-UCPVT,0,1,2,0,0,94.4,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7196-LIWRH,0,6,0,1,0,19.55,117.30000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5448-VWNAM,1,19,1,0,1,75.9,1442.1000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1177-XZBJL,1,53,1,2,0,64.15,3399.9500000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3518-FSTWG,0,72,2,1,1,109.55,7887.599999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9330-VOFSZ,0,60,2,1,1,110.8,6648.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4351-QLCSU,0,1,1,0,1,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0939-EREMR,1,13,1,0,0,53.45,694.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9389-ACWBI,1,5,2,0,0,69.95,349.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5419-JPRRN,0,1,2,0,1,101.45,101.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3644-QXEHN,1,13,2,0,0,97.0,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2911-IJORQ,0,37,1,2,1,90.6,3352.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5921-NGYRH,0,64,2,0,1,73.55,4707.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2100-BDNSN,0,5,1,0,0,67.95,339.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5998-DZLYR,0,61,2,1,1,94.35,5755.349999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0488-GSLFR,0,1,2,0,1,69.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9318-NKNFC,0,1,0,0,1,18.85,18.85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
3985-HOYPM,0,26,0,2,0,19.4,504.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9728-FTTVZ,0,1,2,0,1,69.2,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9548-LERKT,0,24,0,1,0,19.75,474.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6576-FBXOJ,0,17,1,2,0,54.6,928.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4310-KEDTB,1,26,1,0,1,29.8,774.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7254-IQWOZ,0,1,2,0,1,69.65,69.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2474-BRUCM,0,40,2,0,0,101.85,4074.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4062-HBMOS,0,52,2,0,1,103.05,5358.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0742-NXBGR,0,1,2,0,1,82.3,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2676-ISHSF,0,1,0,0,0,20.3,20.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9236-NDUCW,0,21,1,1,0,35.1,737.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4753-PADAS,0,67,2,2,1,105.7,7081.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6103-QCKFX,1,44,1,0,0,56.25,2475.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7781-EWARA,1,70,1,2,0,60.35,4224.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6110-OHIHY,0,3,2,0,0,79.25,237.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7018-FPXHH,1,56,1,1,1,59.8,3348.7999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5889-LFOLL,0,13,2,0,1,84.6,1099.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5708-EVONK,1,58,2,0,1,93.4,5417.200000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8708-XPXHZ,1,42,2,0,1,94.2,3956.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0616-ATFGB,0,1,1,0,0,25.05,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0572-ZJKLT,1,46,2,1,0,99.65,4583.900000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5135-RDDQL,1,63,1,1,1,50.65,3190.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1353-LJWEM,0,11,1,0,1,60.9,669.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1794-SWWKL,1,15,1,0,1,59.65,894.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6166-YIPFO,0,72,1,1,1,64.7,4658.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7016-BPGEU,0,29,1,0,1,25.1,727.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6876-ADESB,1,1,1,0,0,48.95,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9332-GYWLO,1,6,1,0,0,54.85,329.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1963-SVUCV,0,1,1,0,0,45.3,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4184-VODJZ,1,63,2,2,1,91.35,5755.049999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0220-EBGCE,0,2,2,0,1,85.85,171.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1092-WPIVQ,1,18,0,1,0,25.1,451.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7233-IOQNP,0,43,1,0,0,34.0,1462.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2834-JKOOW,0,15,1,2,0,45.9,688.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2754-VDLTR,1,10,2,0,0,95.2,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2400-FEQME,1,55,0,1,0,20.5,1127.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3190-XFANI,1,49,2,2,1,100.6,4929.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7551-DACSP,1,6,1,0,1,55.3,331.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4957-SREEC,1,70,0,1,0,20.35,1424.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7235-NXZCP,0,2,2,0,1,74.85,149.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0230-UBYPQ,0,63,1,2,0,36.1,2274.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4923-ADWXJ,0,25,1,0,1,65.8,1645.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1763-KUAAW,0,18,0,2,0,20.35,366.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1104-TNLZA,0,28,2,0,1,105.8,2962.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5195-KPUNQ,0,53,2,2,1,96.75,5127.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0520-FDVVT,0,35,2,2,1,102.35,3582.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3439-GVUSX,0,1,1,0,0,24.4,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1444-VVSGW,0,70,2,2,0,115.65,8095.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5712-PTIWW,0,2,2,0,1,79.85,159.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5949-HGVJL,0,26,1,0,1,73.05,1899.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5203-XEHAX,0,34,1,2,0,64.35,2187.8999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1635-HDGFT,1,19,0,1,0,20.5,389.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3315-TOTBP,0,15,2,0,1,76.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8050-XGRVL,1,62,1,2,0,54.75,3394.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6661-HBGWL,0,42,2,0,1,104.75,4399.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1518-VOWAV,0,9,1,0,1,74.65,671.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9828-QHFBK,0,24,1,0,1,51.15,1227.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3908-MKIMJ,0,68,1,1,1,41.95,2852.6000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5012-YSPJJ,1,31,1,0,0,54.35,1684.8500000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5909-ECHUI,0,1,1,0,1,56.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1309-BXVOQ,0,21,2,0,1,106.1,2228.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6728-VOIFY,0,63,2,2,1,96.0,6048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9317-WZPGV,0,2,2,0,1,79.75,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4891-NLUBA,1,61,1,1,1,61.45,3748.4500000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2856-HYAPG,0,1,2,0,0,68.65,68.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8969-PRHFK,0,18,0,2,0,19.65,353.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0661-KQHNK,1,6,0,2,0,19.0,114.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8709-KRDVL,0,33,2,0,1,100.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4488-PSYCG,0,16,0,0,0,20.25,324.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
1427-VERSM,0,56,2,0,1,98.7,5527.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9801-NOSHQ,1,23,0,2,0,19.8,455.40000000000003,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6339-YPSAH,0,9,2,0,1,73.8,664.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3621-CEOVK,0,14,2,0,1,100.2,1402.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6906-ANDWJ,1,15,2,0,1,74.9,1123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2159-TURXX,0,5,0,0,0,20.05,100.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1548-FEHVL,0,61,2,0,1,106.2,6478.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3795-CAWEX,1,70,2,1,1,116.55,8158.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6215-NQCPY,0,15,2,0,1,99.7,1495.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5647-URDKA,1,8,0,1,0,19.7,157.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2229-DPMBI,1,8,0,1,0,19.5,156.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9626-WEQRM,0,4,1,0,1,29.15,116.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2188-SXWVT,0,34,1,2,0,55.0,1870.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6258-PVZWJ,0,68,1,1,1,90.8,6174.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1094-BKOSX,1,45,1,2,0,51.0,2295.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6969-MVBAI,0,9,2,0,1,90.1,810.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2978-XXSOG,0,22,1,0,1,59.05,1299.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2342-CKIAO,0,2,0,0,0,20.3,40.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
